keys	en
カテゴリなし	No Category
学生	Student
お店	Store
病院	Hospital
会社	Company
ナイトワーク	Nightclub
他職業1	Other Profession 1
警察	Police
イベント	Event
スポーツ	Sports
男 下着	Male Underwear
男 部屋着	Male Loungewear
男 普段着1	Male Casualwear 1
男 普段着2	Male Casualwear 2
男 普段着3	Male Casualwear 3
女 下着	Female Loungewear
女 部屋着	Female Loungewear
女 普段着1	Female Casualwear 1
女 普段着2	Female Casualwear 2
女 普段着3	Female Casualwear 3
学生男 冬服	Male Winter
学生男 夏服	Male Summer
学生男 体育着	Male Sportswear 1
学生男 体育着半袖	Male Sportswear 2
学生女 冬服	Female Winter
学生女 夏服	Female Summer
学生女 体育着	Female Sportswear 1
学生女 体育着半袖	Female Sportswear 2
学生女ツインテ	Female Winter 2
コンビニ店員1	Convenience store 1
コンビニ店員2	Convenience store 2
コンビニ店員3	Convenience store 3
スーパー店員1	Supermarket 1
スーパー店員2	Supermarket 2
スーパー店員3	Supermarket 3
シェフ1	Chef 1
シェフ2	Chef 2
シェフ3	Chef 3
パティシエ1	Patissier 1
パティシエ2	Patissier 2
パティシエ3	Patissier 3
ファーストフード1	Burger Shop 1
ファーストフード2	Burger Shop 2
ファーストフード3	Burger Shop 3
量販店店員1	Electronics store 1
量販店店員2	Electronics store 2
量販店店員3	Electronics store 3
医師1	Doctor 1
医師2	Doctor 2
医師3	Doctor 3
看護師1	Nurse 1
看護師2	Nurse 2
用務員	Janitor
事務員	Clerk
救急隊員	Rescue
会社員男1	Male 1
会社員男2	Male 2
会社員男3	Male 3
会社員女1	Female 1
会社員女2	Female 2
会社員女3	Female 3
社長男	CEO 1
社長女	CEO 2
受付嬢1	Receptionist 1
ホスト	Host
ホステス	Hostess
バーテンダー	Bartender
工事作業員	Construction worker
警備員	Security guard
配達員1	Deliverer 1
配達員2	Deliverer 2
農家1	Farmer 1
農家2	Farmer 2
保育士1	Daycare Teacher 1
保育士2	Daycare Teacher 2
執事1	Butler 1
執事2	Butler 2
メイド1	Maid 1
メイド2	Maid 2
警官男1	Male 1
警官男2	Male 2
警官女1	Female 1
警官女2	Female 2
新郎	Bridegroom
新婦	Bride
応援団員	Cheer squad
チアガール	Cheerleader
野球1	Baseball 1
野球2	Baseball 2
サッカー1	Soccer 1
サッカーGK1	Soccer GK 1
サッカー2	Soccer 2
サッカーGK2	Soccer GK 2
柔道1	Judo 1
柔道2	Judo 2
陸上1	Track and Field Athlete 1
陸上2	Track and Field Athlete 2
水泳1	Swimmer 1
水泳2	Swimmer 2
